"Observations","count","prop","win_start","win_end","win_days"
"1",67944,0.801547790387655,"1993-01-01","1994-01-01",365
"2",14765,0.174185404525399,"1993-01-01","1994-01-01",365
"3",1936,0.0228393459641838,"1993-01-01","1994-01-01",365
"4",121,0.00142745912276148,"1993-01-01","1994-01-01",365
"1",91032,0.632724694696017,"1993-01-01","1995-01-01",730
"2",36064,0.250665517505022,"1993-01-01","1995-01-01",730
"3",12509,0.086944735982429,"1993-01-01","1995-01-01",730
"4",3381,0.0234998922660958,"1993-01-01","1995-01-01",730
"5",726,0.00504611706157514,"1993-01-01","1995-01-01",730
"6",128,0.00088967353151738,"1993-01-01","1995-01-01",730
"7",25,0.000173764361624488,"1993-01-01","1995-01-01",730
"8",8,5.56045957198362e-05,"1993-01-01","1995-01-01",730
"1",74205,0.794698795180723,"1994-01-01","1995-01-01",365
"2",16770,0.179598393574297,"1994-01-01","1995-01-01",365
"3",2263,0.024235609103079,"1994-01-01","1995-01-01",365
"4",137,0.00146720214190094,"1994-01-01","1995-01-01",365
"1",106377,0.548332225091623,"1993-01-01","1996-01-01",1095
"10",8,4.12369008407173e-05,"1993-01-01","1996-01-01",1095
"11",2,1.03092252101793e-05,"1993-01-01","1996-01-01",1095
"12",2,1.03092252101793e-05,"1993-01-01","1996-01-01",1095
"2",49315,0.254199720619997,"1993-01-01","1996-01-01",1095
"3",23346,0.120339585878423,"1993-01-01","1996-01-01",1095
"4",9892,0.050989427889547,"1993-01-01","1996-01-01",1095
"5",3544,0.0182679470724378,"1993-01-01","1996-01-01",1095
"6",1097,0.00565461002778336,"1993-01-01","1996-01-01",1095
"7",317,0.00163401219581342,"1993-01-01","1996-01-01",1095
"8",79,0.000407214395802083,"1993-01-01","1996-01-01",1095
"9",22,0.000113401477311973,"1993-01-01","1996-01-01",1095
"1",98771,0.631386837983827,"1994-01-01","1996-01-01",730
"2",39221,0.250717550420302,"1994-01-01","1996-01-01",730
"3",13775,0.0880557420014703,"1994-01-01","1996-01-01",730
"4",3730,0.0238437689775306,"1994-01-01","1996-01-01",730
"5",788,0.00503723591267939,"1994-01-01","1996-01-01",730
"6",127,0.000811838782881069,"1994-01-01","1996-01-01",730
"7",20,0.000127848627225365,"1994-01-01","1996-01-01",730
"8",3,1.91772940838048e-05,"1994-01-01","1996-01-01",730
"1",80926,0.802542717454902,"1995-01-01","1996-01-01",365
"2",17551,0.17405317492587,"1995-01-01","1996-01-01",365
"3",2226,0.0220752303222032,"1995-01-01","1996-01-01",365
"4",134,0.00132887729702391,"1995-01-01","1996-01-01",365
"1",121955,0.500252269399107,"1993-01-01","1997-01-01",1461
"10",56,0.000229708721137714,"1993-01-01","1997-01-01",1461
"11",19,7.79368875288674e-05,"1993-01-01","1997-01-01",1461
"12",5,2.05097072444388e-05,"1993-01-01","1997-01-01",1461
"13",1,4.10194144888776e-06,"1993-01-01","1997-01-01",1461
"14",1,4.10194144888776e-06,"1993-01-01","1997-01-01",1461
"15",1,4.10194144888776e-06,"1993-01-01","1997-01-01",1461
"16",1,4.10194144888776e-06,"1993-01-01","1997-01-01",1461
"2",59973,0.246005734514146,"1993-01-01","1997-01-01",1461
"3",32040,0.131426204022364,"1993-01-01","1997-01-01",1461
"4",16649,0.0682932231825323,"1993-01-01","1997-01-01",1461
"5",7777,0.0319007986480001,"1993-01-01","1997-01-01",1461
"6",3401,0.0139507028676673,"1993-01-01","1997-01-01",1461
"7",1297,0.00532021805920742,"1993-01-01","1997-01-01",1461
"8",443,0.00181716006185728,"1993-01-01","1997-01-01",1461
"9",168,0.000689126163413143,"1993-01-01","1997-01-01",1461
"1",116853,0.549116079736093,"1994-01-01","1997-01-01",1096
"10",3,1.40976118645501e-05,"1994-01-01","1997-01-01",1096
"11",2,9.3984079097001e-06,"1994-01-01","1997-01-01",1096
"12",1,4.69920395485005e-06,"1994-01-01","1997-01-01",1096
"2",53945,0.253498557344386,"1994-01-01","1997-01-01",1096
"3",25532,0.119980075375231,"1994-01-01","1997-01-01",1096
"4",10828,0.0508829804231163,"1994-01-01","1997-01-01",1096
"5",3940,0.0185148635821092,"1994-01-01","1997-01-01",1096
"6",1276,0.00599618424638866,"1994-01-01","1997-01-01",1096
"7",301,0.00141446039040986,"1994-01-01","1997-01-01",1096
"8",103,0.000484018007349555,"1994-01-01","1997-01-01",1096
"9",18,8.45856711873009e-05,"1994-01-01","1997-01-01",1096
"1",109475,0.636967690508469,"1995-01-01","1997-01-01",731
"2",42794,0.248991964810408,"1995-01-01","1997-01-01",731
"3",14590,0.0848902361682444,"1995-01-01","1997-01-01",731
"4",4012,0.023343360350034,"1995-01-01","1997-01-01",731
"5",812,0.00472452856536083,"1995-01-01","1997-01-01",731
"6",163,0.000948396744031792,"1995-01-01","1997-01-01",731
"7",21,0.000122186083586918,"1995-01-01","1997-01-01",731
"8",2,1.16367698654208e-05,"1995-01-01","1997-01-01",731
"1",88057,0.793492169336962,"1996-01-01","1997-01-01",366
"2",20120,0.181303728801341,"1996-01-01","1997-01-01",366
"3",2645,0.0238344116639934,"1996-01-01","1997-01-01",366
"4",152,0.00136969019770397,"1996-01-01","1997-01-01",366
"1",136691,0.467873108018374,"1993-01-01","1998-01-01",1826
"10",219,0.000749604660555734,"1993-01-01","1998-01-01",1826
"11",86,0.000294365300492206,"1993-01-01","1998-01-01",1826
"12",30,0.000102685569939142,"1993-01-01","1998-01-01",1826
"13",15,5.13427849695708e-05,"1993-01-01","1998-01-01",1826
"14",8,2.73828186504378e-05,"1993-01-01","1998-01-01",1826
"15",2,6.84570466260945e-06,"1993-01-01","1998-01-01",1826
"17",1,3.42285233130472e-06,"1993-01-01","1998-01-01",1826
"19",2,6.84570466260945e-06,"1993-01-01","1998-01-01",1826
"2",68873,0.23574210861395,"1993-01-01","1998-01-01",1826
"3",39811,0.136267174161572,"1993-01-01","1998-01-01",1826
"4",22799,0.0780376103014164,"1993-01-01","1998-01-01",1826
"5",12415,0.0424947116931481,"1993-01-01","1998-01-01",1826
"6",6283,0.0215057811975876,"1993-01-01","1998-01-01",1826
"7",2995,0.0102514427322576,"1993-01-01","1998-01-01",1826
"8",1330,0.00455239360063528,"1993-01-01","1998-01-01",1826
"9",594,0.00203317428479501,"1993-01-01","1998-01-01",1826
"1",132349,0.498980165058683,"1994-01-01","1998-01-01",1461
"10",45,0.000169658308167351,"1994-01-01","1998-01-01",1461
"11",22,8.29440617707049e-05,"1994-01-01","1998-01-01",1461
"12",8,3.01614770075291e-05,"1994-01-01","1998-01-01",1461
"14",1,3.77018462594113e-06,"1994-01-01","1998-01-01",1461
"15",2,7.54036925188226e-06,"1994-01-01","1998-01-01",1461
"2",65166,0.24568785133408,"1994-01-01","1998-01-01",1461
"3",35209,0.132744430494761,"1994-01-01","1998-01-01",1461
"4",18192,0.0685871987151211,"1994-01-01","1998-01-01",1461
"5",8465,0.0319146128585917,"1994-01-01","1998-01-01",1461
"6",3651,0.0137649440693111,"1994-01-01","1998-01-01",1461
