"Observations","count","prop","win_start","win_end","win_days","region"
"1",9251,0.822823089922619,"1993-01-01","1994-01-01",365,"Wellington"
"2",1792,0.15938806368407,"1993-01-01","1994-01-01",365,"Wellington"
"3",194,0.0172551810015121,"1993-01-01","1994-01-01",365,"Wellington"
"4",6,0.000533665391799342,"1993-01-01","1994-01-01",365,"Wellington"
"1",12469,0.654918850779978,"1993-01-01","1995-01-01",730,"Wellington"
"2",4665,0.245023373076317,"1993-01-01","1995-01-01",730,"Wellington"
"3",1480,0.077735175166763,"1993-01-01","1995-01-01",730,"Wellington"
"4",353,0.0185408897526131,"1993-01-01","1995-01-01",730,"Wellington"
"5",60,0.00315142602027417,"1993-01-01","1995-01-01",730,"Wellington"
"6",11,0.000577761437050265,"1993-01-01","1995-01-01",730,"Wellington"
"7",1,5.25237670045696e-05,"1993-01-01","1995-01-01",730,"Wellington"
"1",9847,0.814811750103434,"1994-01-01","1995-01-01",365,"Wellington"
"2",1987,0.164418700868846,"1994-01-01","1995-01-01",365,"Wellington"
"3",242,0.0200248241621845,"1994-01-01","1995-01-01",365,"Wellington"
"4",9,0.000744724865535788,"1994-01-01","1995-01-01",365,"Wellington"
"1",13903,0.55390438247012,"1993-01-01","1996-01-01",1095,"Wellington"
"2",6640,0.264541832669323,"1993-01-01","1996-01-01",1095,"Wellington"
"3",2925,0.116533864541833,"1993-01-01","1996-01-01",1095,"Wellington"
"4",1117,0.0445019920318725,"1993-01-01","1996-01-01",1095,"Wellington"
"5",369,0.0147011952191235,"1993-01-01","1996-01-01",1095,"Wellington"
"6",105,0.00418326693227092,"1993-01-01","1996-01-01",1095,"Wellington"
"7",34,0.00135458167330677,"1993-01-01","1996-01-01",1095,"Wellington"
"8",6,0.000239043824701195,"1993-01-01","1996-01-01",1095,"Wellington"
"9",1,3.98406374501992e-05,"1993-01-01","1996-01-01",1095,"Wellington"
"1",12859,0.644238476953908,"1994-01-01","1996-01-01",730,"Wellington"
"2",4980,0.249498997995992,"1994-01-01","1996-01-01",730,"Wellington"
"3",1637,0.0820140280561122,"1994-01-01","1996-01-01",730,"Wellington"
"4",402,0.0201402805611222,"1994-01-01","1996-01-01",730,"Wellington"
"5",75,0.00375751503006012,"1994-01-01","1996-01-01",730,"Wellington"
"6",7,0.000350701402805611,"1994-01-01","1996-01-01",730,"Wellington"
"1",10351,0.818713912837143,"1995-01-01","1996-01-01",365,"Wellington"
"2",2063,0.163173297476865,"1995-01-01","1996-01-01",365,"Wellington"
"3",221,0.0174800284742545,"1995-01-01","1996-01-01",365,"Wellington"
"4",8,0.00063276121173772,"1995-01-01","1996-01-01",365,"Wellington"
"1",15300,0.497447735474851,"1993-01-01","1997-01-01",1461,"Wellington"
"10",3,9.75387716617355e-05,"1993-01-01","1997-01-01",1461,"Wellington"
"11",1,3.25129238872452e-05,"1993-01-01","1997-01-01",1461,"Wellington"
"12",1,3.25129238872452e-05,"1993-01-01","1997-01-01",1461,"Wellington"
"2",7924,0.257632408882531,"1993-01-01","1997-01-01",1461,"Wellington"
"3",4132,0.134343401502097,"1993-01-01","1997-01-01",1461,"Wellington"
"4",2012,0.0654160028611373,"1993-01-01","1997-01-01",1461,"Wellington"
"5",861,0.0279936274669181,"1993-01-01","1997-01-01",1461,"Wellington"
"6",348,0.0113144975127613,"1993-01-01","1997-01-01",1461,"Wellington"
"7",118,0.00383652501869493,"1993-01-01","1997-01-01",1461,"Wellington"
"8",48,0.00156062034658777,"1993-01-01","1997-01-01",1461,"Wellington"
"9",9,0.000292616314985207,"1993-01-01","1997-01-01",1461,"Wellington"
"1",14649,0.552167357708255,"1994-01-01","1997-01-01",1096,"Wellington"
"2",6944,0.261741424802111,"1994-01-01","1997-01-01",1096,"Wellington"
"3",3144,0.118507350169619,"1994-01-01","1997-01-01",1096,"Wellington"
"4",1236,0.0465887674330946,"1994-01-01","1997-01-01",1096,"Wellington"
"5",410,0.0154542027892951,"1994-01-01","1997-01-01",1096,"Wellington"
"6",114,0.00429702223897475,"1994-01-01","1997-01-01",1096,"Wellington"
"7",25,0.000942329438371655,"1994-01-01","1997-01-01",1096,"Wellington"
"8",6,0.000226159065209197,"1994-01-01","1997-01-01",1096,"Wellington"
"9",2,7.53863550697324e-05,"1994-01-01","1997-01-01",1096,"Wellington"
"1",13731,0.64912778329315,"1995-01-01","1997-01-01",731,"Wellington"
"2",5280,0.249609984399376,"1995-01-01","1997-01-01",731,"Wellington"
"3",1658,0.0783813170708647,"1995-01-01","1997-01-01",731,"Wellington"
"4",397,0.0187680234482107,"1995-01-01","1997-01-01",731,"Wellington"
"5",71,0.00335649789627949,"1995-01-01","1997-01-01",731,"Wellington"
"6",15,0.000709119273861864,"1995-01-01","1997-01-01",731,"Wellington"
"7",1,4.72746182574576e-05,"1995-01-01","1997-01-01",731,"Wellington"
"1",10708,0.806264588509901,"1996-01-01","1997-01-01",366,"Wellington"
"2",2306,0.173631503651833,"1996-01-01","1997-01-01",366,"Wellington"
"3",255,0.0192003614185679,"1996-01-01","1997-01-01",366,"Wellington"
"4",12,0.000903546419697312,"1996-01-01","1997-01-01",366,"Wellington"
"1",16778,0.464211603906704,"1993-01-01","1998-01-01",1826,"Wellington"
"10",15,0.000415018122458014,"1993-01-01","1998-01-01",1826,"Wellington"
"11",6,0.000166007248983206,"1993-01-01","1998-01-01",1826,"Wellington"
"13",1,2.76678748305343e-05,"1993-01-01","1998-01-01",1826,"Wellington"
"2",8737,0.241734222394378,"1993-01-01","1998-01-01",1826,"Wellington"
"3",5166,0.14293224137454,"1993-01-01","1998-01-01",1826,"Wellington"
"4",2871,0.0794344686384639,"1993-01-01","1998-01-01",1826,"Wellington"
"5",1425,0.0394267216335113,"1993-01-01","1998-01-01",1826,"Wellington"
"6",665,0.0183991367623053,"1993-01-01","1998-01-01",1826,"Wellington"
"7",305,0.00843870182331295,"1993-01-01","1998-01-01",1826,"Wellington"
"8",130,0.00359682372796945,"1993-01-01","1998-01-01",1826,"Wellington"
"9",44,0.00121738649254351,"1993-01-01","1998-01-01",1826,"Wellington"
"1",16253,0.500153865091088,"1994-01-01","1998-01-01",1461,"Wellington"
"10",8,0.000246184145741014,"1994-01-01","1998-01-01",1461,"Wellington"
"11",1,3.07730182176268e-05,"1994-01-01","1998-01-01",1461,"Wellington"
"2",8206,0.252523387493845,"1994-01-01","1998-01-01",1461,"Wellington"
"3",4424,0.136139832594781,"1994-01-01","1998-01-01",1461,"Wellington"
"4",2115,0.0650849335302807,"1994-01-01","1998-01-01",1461,"Wellington"
"5",934,0.0287419990152634,"1994-01-01","1998-01-01",1461,"Wellington"
"6",378,0.0116322008862629,"1994-01-01","1998-01-01",1461,"Wellington"
"7",145,0.00446208764155588,"1994-01-01","1998-01-01",1461,"Wellington"
"8",21,0.000646233382570162,"1994-01-01","1998-01-01",1461,"Wellington"
"9",11,0.000338503200393895,"1994-01-01","1998-01-01",1461,"Wellington"
"1",15818,0.562297820909317,"1995-01-01","1998-01-01",1096,"Wellington"
"2",7241,0.257402865166542,"1995-01-01","1998-01-01",1096,"Wellington"
"3",3236,0.115033237353809,"1995-01-01","1998-01-01",1096,"Wellington"
"4",1267,0.045039280509047,"1995-01-01","1998-01-01",1096,"Wellington"
"5",419,0.014894600263055,"1995-01-01","1998-01-01",1096,"Wellington"
"6",109,0.00387472894671359,"1995-01-01","1998-01-01",1096,"Wellington"
"7",31,0.00110198713163414,"1995-01-01","1998-01-01",1096,"Wellington"
"8",7,0.000248835803917387,"1995-01-01","1998-01-01",1096,"Wellington"
"9",3,0.000106643915964594,"1995-01-01","1998-01-01",1096,"Wellington"
"1",14538,0.652630633866044,"1996-01-01","1998-01-01",731,"Wellington"
"2",5425,0.243535643742144,"1996-01-01","1998-01-01",731,"Wellington"
