"Ave_obs_q","Median_obs_q","win_start","win_end","win_days","region"
1.36299009047824,1,"1993-01-01","1994-01-01",365,"Wellington"
1.86421027281797,2,"1993-01-01","1995-01-01",730,"Wellington"
1.38128261013143,1,"1994-01-01","1995-01-01",365,"Wellington"
2.3223544648639,2,"1993-01-01","1996-01-01",1095,"Wellington"
1.89263376219334,2,"1994-01-01","1996-01-01",730,"Wellington"
1.36911427844235,1,"1995-01-01","1996-01-01",365,"Wellington"
2.7216054098867,2,"1993-01-01","1997-01-01",1461,"Wellington"
2.33560967409804,2,"1994-01-01","1997-01-01",1096,"Wellington"
1.87728813559322,2,"1995-01-01","1997-01-01",731,"Wellington"
1.39279311581212,1,"1996-01-01","1997-01-01",366,"Wellington"
3.07627473098518,3,"1993-01-01","1998-01-01",1826,"Wellington"
2.72488572176135,2,"1994-01-01","1998-01-01",1461,"Wellington"
2.31375421415958,2,"1995-01-01","1998-01-01",1096,"Wellington"
1.87961660218079,2,"1996-01-01","1998-01-01",731,"Wellington"
1.36468760787021,1,"1997-01-01","1998-01-01",365,"Wellington"
3.41431269502381,3,"1993-01-01","1999-01-01",2191,"Wellington"
3.08960693669309,3,"1994-01-01","1999-01-01",1826,"Wellington"
2.71676638822652,2,"1995-01-01","1999-01-01",1461,"Wellington"
2.32911608822021,2,"1996-01-01","1999-01-01",1096,"Wellington"
1.87350655860974,2,"1997-01-01","1999-01-01",730,"Wellington"
1.36712550607287,1,"1998-01-01","1999-01-01",365,"Wellington"
3.76062039285866,3,"1993-01-01","2000-01-01",2556,"Wellington"
3.46175267600731,3,"1994-01-01","2000-01-01",2191,"Wellington"
3.11975803711004,3,"1995-01-01","2000-01-01",1826,"Wellington"
2.76782613489154,2,"1996-01-01","2000-01-01",1461,"Wellington"
2.36125241814143,2,"1997-01-01","2000-01-01",1095,"Wellington"
1.90500962388805,2,"1998-01-01","2000-01-01",730,"Wellington"
1.38391647005672,1,"1999-01-01","2000-01-01",365,"Wellington"
4.09933712532384,4,"1993-01-01","2001-01-01",2922,"Wellington"
3.82092386930629,3,"1994-01-01","2001-01-01",2557,"Wellington"
3.50323041816732,3,"1995-01-01","2001-01-01",2192,"Wellington"
3.17837756817233,3,"1996-01-01","2001-01-01",1827,"Wellington"
2.80985796084467,3,"1997-01-01","2001-01-01",1461,"Wellington"
2.39541552110918,2,"1998-01-01","2001-01-01",1096,"Wellington"
