"","geomean","quarter","concept","source"
"1",175.742592486346,2000 Q2,"stock","survey"
"2",176.648717264372,2000 Q3,"stock","survey"
"3",177.874344212875,2000 Q4,"stock","survey"
"4",177.001527293093,2001 Q1,"stock","survey"
"5",179.850291250631,2001 Q3,"stock","survey"
"6",180.412567169732,2001 Q4,"stock","survey"
"7",181.215832493034,2002 Q1,"stock","survey"
"8",180.557570000344,2002 Q2,"stock","survey"
"9",181.918975657093,2002 Q3,"stock","survey"
"10",183.306953563981,2002 Q4,"stock","survey"
"11",183.271522505182,2003 Q1,"stock","survey"
"12",184.981782765509,2003 Q2,"stock","survey"
"13",186.845555716172,2003 Q3,"stock","survey"
"14",188.183165727239,2003 Q4,"stock","survey"
"15",187.773488661093,2004 Q1,"stock","survey"
"16",189.104301288593,2004 Q2,"stock","survey"
"17",188.865118051813,2004 Q3,"stock","survey"
"18",190.160616732851,2004 Q4,"stock","survey"
"19",191.521048760641,2005 Q1,"stock","survey"
"20",192.230272846668,2005 Q2,"stock","survey"
"21",195.444142910466,2005 Q3,"stock","survey"
"22",196.056185704931,2005 Q4,"stock","survey"
"23",196.053118919002,2006 Q1,"stock","survey"
"24",227.367068872851,2006 Q2,"stock","survey"
"25",233.761444277559,2006 Q3,"stock","survey"
"26",234.961777390447,2006 Q4,"stock","survey"
"27",240.343136126097,2007 Q1,"stock","survey"
"28",244.793986487267,2007 Q2,"stock","survey"
"29",250.40027321361,2007 Q3,"stock","survey"
"30",255.819499155643,2007 Q4,"stock","survey"
"31",264.72637642954,2008 Q1,"stock","survey"
"32",264.865851413988,2008 Q2,"stock","survey"
"33",271.418783170655,2008 Q3,"stock","survey"
"34",274.983907398274,2008 Q4,"stock","survey"
"35",276.965894297864,2009 Q1,"stock","survey"
"36",278.435333313789,2009 Q2,"stock","survey"
"37",281.886776983312,2009 Q3,"stock","survey"
"38",284.603036281964,2009 Q4,"stock","survey"
"39",285.85062985608,2010 Q1,"stock","survey"
"40",289.538928359282,2010 Q2,"stock","survey"
"41",290.231958207344,2010 Q3,"stock","survey"
"42",292.713957886323,2010 Q4,"stock","survey"
"43",293.922743059976,2011 Q1,"stock","survey"
"44",297.86104974941,2011 Q2,"stock","survey"
"45",299.789555279544,2011 Q3,"stock","survey"
"46",302.794532120651,2011 Q4,"stock","survey"
"47",305.927218691644,2012 Q1,"stock","survey"
"48",310.296390099028,2012 Q3,"stock","survey"
"49",312.12695110129,2012 Q4,"stock","survey"
"50",314.59737100598,2013 Q1,"stock","survey"
"51",320.701423418213,2013 Q2,"stock","survey"
"52",323.769674301277,2013 Q3,"stock","survey"
"53",325.051588382101,2013 Q4,"stock","survey"
"54",325.308746722918,2014 Q1,"stock","survey"
"55",329.198730146863,2014 Q2,"stock","survey"
"56",332.095269732781,2014 Q3,"stock","survey"
"57",335.72068689077,2014 Q4,"stock","survey"
"58",336.399699116764,2015 Q1,"stock","survey"
"59",342.330258475379,2015 Q2,"stock","survey"
"60",342.402342402352,2015 Q3,"stock","survey"
"61",348.75568426847,2015 Q4,"stock","survey"
"62",348.285579268545,2016 Q1,"stock","survey"
"63",348.141005421671,2016 Q2,"stock","survey"
"64",356.301343886851,2016 Q3,"stock","survey"
"65",361.49733920846,2016 Q4,"stock","survey"
"66",362.99487857715,2017 Q1,"stock","survey"
"67",368.930735872537,2017 Q2,"stock","survey"
"68",374.890342358614,2017 Q3,"stock","survey"
"69",377.242209294487,2017 Q4,"stock","survey"
"70",175.583064555866,2000 Q2,"flow","survey"
"71",176.877033756663,2000 Q3,"flow","survey"
"72",193.467477622445,2000 Q4,"flow","survey"
"73",188.051342632175,2001 Q1,"flow","survey"
"74",196.66988057169,2001 Q3,"flow","survey"
"75",197.703071833533,2001 Q4,"flow","survey"
"76",196.501710164464,2002 Q1,"flow","survey"
"77",195.550282672132,2002 Q2,"flow","survey"
"78",207.710140615872,2002 Q3,"flow","survey"
"79",201.639269554724,2002 Q4,"flow","survey"
"80",209.071412457011,2003 Q1,"flow","survey"
"81",202.416849245531,2003 Q2,"flow","survey"
"82",185.354412311986,2003 Q3,"flow","survey"
"83",203.139409140869,2003 Q4,"flow","survey"
"84",208.724340091522,2004 Q1,"flow","survey"
"85",210.016334085222,2004 Q2,"flow","survey"
"86",183.737632402913,2004 Q3,"flow","survey"
"87",178.395177896173,2004 Q4,"flow","survey"
"88",183.696357961229,2005 Q1,"flow","survey"
"89",200.237171798412,2005 Q2,"flow","survey"
"90",179.468266154771,2005 Q3,"flow","survey"
"91",176.908395058621,2005 Q4,"flow","survey"
"92",208.543216355159,2006 Q1,"flow","survey"
