"Observations","count","prop","win_start","win_end","win_days"
"1",427,0.694308943089431,"2001-01-01","2002-01-01",365
"2",164,0.266666666666667,"2001-01-01","2002-01-01",365
"3",24,0.0390243902439024,"2001-01-01","2002-01-01",365
"1",434,0.434,"2001-01-01","2003-01-01",730
"2",295,0.295,"2001-01-01","2003-01-01",730
"3",168,0.168,"2001-01-01","2003-01-01",730
"4",68,0.068,"2001-01-01","2003-01-01",730
"5",29,0.029,"2001-01-01","2003-01-01",730
"6",6,0.006,"2001-01-01","2003-01-01",730
"1",410,0.566298342541437,"2002-01-01","2003-01-01",365
"2",213,0.294198895027624,"2002-01-01","2003-01-01",365
"3",86,0.11878453038674,"2002-01-01","2003-01-01",365
"4",15,0.0207182320441989,"2002-01-01","2003-01-01",365
"1",439,0.364315352697095,"2001-01-01","2004-01-01",1095
"2",296,0.245643153526971,"2001-01-01","2004-01-01",1095
"3",222,0.184232365145228,"2001-01-01","2004-01-01",1095
"4",119,0.0987551867219917,"2001-01-01","2004-01-01",1095
"5",77,0.0639004149377593,"2001-01-01","2004-01-01",1095
"6",29,0.0240663900414938,"2001-01-01","2004-01-01",1095
"7",14,0.0116182572614108,"2001-01-01","2004-01-01",1095
"8",7,0.00580912863070539,"2001-01-01","2004-01-01",1095
"9",2,0.0016597510373444,"2001-01-01","2004-01-01",1095
"1",417,0.421212121212121,"2002-01-01","2004-01-01",730
"2",259,0.261616161616162,"2002-01-01","2004-01-01",730
"3",177,0.178787878787879,"2002-01-01","2004-01-01",730
"4",89,0.0898989898989899,"2002-01-01","2004-01-01",730
"5",36,0.0363636363636364,"2002-01-01","2004-01-01",730
"6",9,0.00909090909090909,"2002-01-01","2004-01-01",730
"7",3,0.00303030303030303,"2002-01-01","2004-01-01",730
"1",410,0.653907496012759,"2003-01-01","2004-01-01",365
"2",149,0.237639553429027,"2003-01-01","2004-01-01",365
"3",57,0.0909090909090909,"2003-01-01","2004-01-01",365
"4",11,0.0175438596491228,"2003-01-01","2004-01-01",365
"1",425,0.320754716981132,"2001-01-01","2005-01-01",1461
"10",7,0.00528301886792453,"2001-01-01","2005-01-01",1461
"11",2,0.00150943396226415,"2001-01-01","2005-01-01",1461
"2",290,0.218867924528302,"2001-01-01","2005-01-01",1461
"3",209,0.157735849056604,"2001-01-01","2005-01-01",1461
"4",180,0.135849056603774,"2001-01-01","2005-01-01",1461
"5",94,0.0709433962264151,"2001-01-01","2005-01-01",1461
"6",46,0.0347169811320755,"2001-01-01","2005-01-01",1461
"7",34,0.0256603773584906,"2001-01-01","2005-01-01",1461
"8",30,0.0226415094339623,"2001-01-01","2005-01-01",1461
"9",8,0.0060377358490566,"2001-01-01","2005-01-01",1461
"1",410,0.359019264448336,"2002-01-01","2005-01-01",1096
"2",258,0.225919439579685,"2002-01-01","2005-01-01",1096
"3",184,0.161120840630473,"2002-01-01","2005-01-01",1096
"4",152,0.133099824868651,"2002-01-01","2005-01-01",1096
"5",60,0.0525394045534151,"2002-01-01","2005-01-01",1096
"6",36,0.031523642732049,"2002-01-01","2005-01-01",1096
"7",28,0.0245183887915937,"2002-01-01","2005-01-01",1096
"8",11,0.00963222416812609,"2002-01-01","2005-01-01",1096
"9",3,0.00262697022767075,"2002-01-01","2005-01-01",1096
"1",411,0.465458663646659,"2003-01-01","2005-01-01",731
"2",248,0.280860702151755,"2003-01-01","2005-01-01",731
"3",117,0.132502831257078,"2003-01-01","2005-01-01",731
"4",56,0.0634201585503964,"2003-01-01","2005-01-01",731
"5",33,0.0373725934314836,"2003-01-01","2005-01-01",731
"6",15,0.0169875424688562,"2003-01-01","2005-01-01",731
"7",2,0.00226500566251416,"2003-01-01","2005-01-01",731
"8",1,0.00113250283125708,"2003-01-01","2005-01-01",731
"1",392,0.675862068965517,"2004-01-01","2005-01-01",366
"2",128,0.220689655172414,"2004-01-01","2005-01-01",366
"3",52,0.0896551724137931,"2004-01-01","2005-01-01",366
"4",8,0.0137931034482759,"2004-01-01","2005-01-01",366
"1",427,0.303698435277383,"2001-01-01","2006-01-01",1826
"10",20,0.0142247510668563,"2001-01-01","2006-01-01",1826
"11",8,0.00568990042674253,"2001-01-01","2006-01-01",1826
"12",3,0.00213371266002845,"2001-01-01","2006-01-01",1826
"13",1,0.000711237553342817,"2001-01-01","2006-01-01",1826
"2",296,0.210526315789474,"2001-01-01","2006-01-01",1826
"3",194,0.137980085348506,"2001-01-01","2006-01-01",1826
"4",145,0.103129445234708,"2001-01-01","2006-01-01",1826
"5",102,0.0725462304409673,"2001-01-01","2006-01-01",1826
"6",97,0.0689900426742532,"2001-01-01","2006-01-01",1826
"7",38,0.027027027027027,"2001-01-01","2006-01-01",1826
"8",44,0.0312944523470839,"2001-01-01","2006-01-01",1826
"9",31,0.0220483641536273,"2001-01-01","2006-01-01",1826
"1",413,0.334142394822006,"2002-01-01","2006-01-01",1461
"10",8,0.00647249190938511,"2002-01-01","2006-01-01",1461
"12",2,0.00161812297734628,"2002-01-01","2006-01-01",1461
"2",257,0.207928802588997,"2002-01-01","2006-01-01",1461
"3",172,0.13915857605178,"2002-01-01","2006-01-01",1461
"4",127,0.102750809061489,"2002-01-01","2006-01-01",1461
"5",84,0.0679611650485437,"2002-01-01","2006-01-01",1461
"6",85,0.0687702265372168,"2002-01-01","2006-01-01",1461
"7",26,0.0210355987055016,"2002-01-01","2006-01-01",1461
"8",45,0.0364077669902913,"2002-01-01","2006-01-01",1461
"9",17,0.0137540453074434,"2002-01-01","2006-01-01",1461
"1",395,0.393426294820717,"2003-01-01","2006-01-01",1096
"10",1,0.00099601593625498,"2003-01-01","2006-01-01",1096
"11",1,0.00099601593625498,"2003-01-01","2006-01-01",1096
"2",218,0.217131474103586,"2003-01-01","2006-01-01",1096
"3",159,0.158366533864542,"2003-01-01","2006-01-01",1096
"4",89,0.0886454183266932,"2003-01-01","2006-01-01",1096
"5",55,0.0547808764940239,"2003-01-01","2006-01-01",1096
"6",51,0.050796812749004,"2003-01-01","2006-01-01",1096
"7",24,0.0239043824701195,"2003-01-01","2006-01-01",1096
"8",7,0.00697211155378486,"2003-01-01","2006-01-01",1096
"9",4,0.00398406374501992,"2003-01-01","2006-01-01",1096
"1",357,0.46484375,"2004-01-01","2006-01-01",731
"2",185,0.240885416666667,"2004-01-01","2006-01-01",731
"3",107,0.139322916666667,"2004-01-01","2006-01-01",731
"4",57,0.07421875,"2004-01-01","2006-01-01",731
"5",49,0.0638020833333333,"2004-01-01","2006-01-01",731
"6",9,0.01171875,"2004-01-01","2006-01-01",731
"7",4,0.00520833333333333,"2004-01-01","2006-01-01",731
"1",294,0.609958506224066,"2005-01-01","2006-01-01",365
"2",125,0.259336099585062,"2005-01-01","2006-01-01",365
"3",29,0.0601659751037344,"2005-01-01","2006-01-01",365
"4",34,0.0705394190871369,"2005-01-01","2006-01-01",365
"1",486,0.308571428571429,"2001-01-01","2007-01-01",2191
"10",25,0.0158730158730159,"2001-01-01","2007-01-01",2191
"11",24,0.0152380952380952,"2001-01-01","2007-01-01",2191
"12",10,0.00634920634920635,"2001-01-01","2007-01-01",2191
"13",6,0.00380952380952381,"2001-01-01","2007-01-01",2191
"14",1,0.000634920634920635,"2001-01-01","2007-01-01",2191
"16",1,0.000634920634920635,"2001-01-01","2007-01-01",2191
"2",326,0.206984126984127,"2001-01-01","2007-01-01",2191
"3",186,0.118095238095238,"2001-01-01","2007-01-01",2191
"4",162,0.102857142857143,"2001-01-01","2007-01-01",2191
"5",118,0.0749206349206349,"2001-01-01","2007-01-01",2191
"6",78,0.0495238095238095,"2001-01-01","2007-01-01",2191
"7",50,0.0317460317460317,"2001-01-01","2007-01-01",2191
"8",52,0.033015873015873,"2001-01-01","2007-01-01",2191
"9",50,0.0317460317460317,"2001-01-01","2007-01-01",2191
"1",473,0.334512022630835,"2002-01-01","2007-01-01",1826
"10",13,0.00919377652050919,"2002-01-01","2007-01-01",1826
"11",11,0.00777934936350778,"2002-01-01","2007-01-01",1826
"12",3,0.00212164073550212,"2002-01-01","2007-01-01",1826
"13",3,0.00212164073550212,"2002-01-01","2007-01-01",1826
"15",1,0.000707213578500707,"2002-01-01","2007-01-01",1826
"2",281,0.198727015558699,"2002-01-01","2007-01-01",1826
"3",173,0.122347949080622,"2002-01-01","2007-01-01",1826
"4",151,0.106789250353607,"2002-01-01","2007-01-01",1826
"5",90,0.0636492220650637,"2002-01-01","2007-01-01",1826
"6",68,0.0480905233380481,"2002-01-01","2007-01-01",1826
"7",47,0.0332390381895332,"2002-01-01","2007-01-01",1826
"8",53,0.0374823196605375,"2002-01-01","2007-01-01",1826
"9",47,0.0332390381895332,"2002-01-01","2007-01-01",1826
"1",433,0.363255033557047,"2003-01-01","2007-01-01",1461
"10",7,0.00587248322147651,"2003-01-01","2007-01-01",1461
"11",1,0.000838926174496644,"2003-01-01","2007-01-01",1461
"12",1,0.000838926174496644,"2003-01-01","2007-01-01",1461
"14",1,0.000838926174496644,"2003-01-01","2007-01-01",1461
"2",247,0.207214765100671,"2003-01-01","2007-01-01",1461
"3",162,0.135906040268456,"2003-01-01","2007-01-01",1461
"4",122,0.102348993288591,"2003-01-01","2007-01-01",1461
"5",79,0.0662751677852349,"2003-01-01","2007-01-01",1461
"6",42,0.0352348993288591,"2003-01-01","2007-01-01",1461
