"Observations","count","prop","win_start","win_end","win_days","region","regname"
"1",149,0.699530516431925,"2001-01-01","2002-01-01",365,1,"Auckland"
"2",58,0.272300469483568,"2001-01-01","2002-01-01",365,1,"Auckland"
"3",6,0.028169014084507,"2001-01-01","2002-01-01",365,1,"Auckland"
"1",162,0.46685878962536,"2001-01-01","2003-01-01",730,1,"Auckland"
"2",111,0.319884726224784,"2001-01-01","2003-01-01",730,1,"Auckland"
"3",38,0.109510086455331,"2001-01-01","2003-01-01",730,1,"Auckland"
"4",24,0.069164265129683,"2001-01-01","2003-01-01",730,1,"Auckland"
"5",9,0.0259365994236311,"2001-01-01","2003-01-01",730,1,"Auckland"
"6",3,0.00864553314121038,"2001-01-01","2003-01-01",730,1,"Auckland"
"1",153,0.616935483870968,"2002-01-01","2003-01-01",365,1,"Auckland"
"2",70,0.282258064516129,"2002-01-01","2003-01-01",365,1,"Auckland"
"3",19,0.0766129032258065,"2002-01-01","2003-01-01",365,1,"Auckland"
"4",6,0.0241935483870968,"2002-01-01","2003-01-01",365,1,"Auckland"
"1",157,0.376498800959233,"2001-01-01","2004-01-01",1095,1,"Auckland"
"2",114,0.273381294964029,"2001-01-01","2004-01-01",1095,1,"Auckland"
"3",64,0.15347721822542,"2001-01-01","2004-01-01",1095,1,"Auckland"
"4",40,0.0959232613908873,"2001-01-01","2004-01-01",1095,1,"Auckland"
"5",24,0.0575539568345324,"2001-01-01","2004-01-01",1095,1,"Auckland"
"6",8,0.0191846522781775,"2001-01-01","2004-01-01",1095,1,"Auckland"
"7",6,0.0143884892086331,"2001-01-01","2004-01-01",1095,1,"Auckland"
"8",3,0.00719424460431655,"2001-01-01","2004-01-01",1095,1,"Auckland"
"9",1,0.00239808153477218,"2001-01-01","2004-01-01",1095,1,"Auckland"
"1",158,0.456647398843931,"2002-01-01","2004-01-01",730,1,"Auckland"
"2",93,0.26878612716763,"2002-01-01","2004-01-01",730,1,"Auckland"
"3",51,0.147398843930636,"2002-01-01","2004-01-01",730,1,"Auckland"
"4",29,0.0838150289017341,"2002-01-01","2004-01-01",730,1,"Auckland"
"5",8,0.023121387283237,"2002-01-01","2004-01-01",730,1,"Auckland"
"6",5,0.0144508670520231,"2002-01-01","2004-01-01",730,1,"Auckland"
"7",2,0.00578034682080925,"2002-01-01","2004-01-01",730,1,"Auckland"
"1",145,0.656108597285068,"2003-01-01","2004-01-01",365,1,"Auckland"
"2",53,0.239819004524887,"2003-01-01","2004-01-01",365,1,"Auckland"
"3",20,0.0904977375565611,"2003-01-01","2004-01-01",365,1,"Auckland"
"4",3,0.0135746606334842,"2003-01-01","2004-01-01",365,1,"Auckland"
"1",140,0.319634703196347,"2001-01-01","2005-01-01",1461,1,"Auckland"
"10",5,0.0114155251141553,"2001-01-01","2005-01-01",1461,1,"Auckland"
"2",110,0.251141552511416,"2001-01-01","2005-01-01",1461,1,"Auckland"
"3",65,0.148401826484018,"2001-01-01","2005-01-01",1461,1,"Auckland"
"4",51,0.116438356164384,"2001-01-01","2005-01-01",1461,1,"Auckland"
"5",32,0.0730593607305936,"2001-01-01","2005-01-01",1461,1,"Auckland"
"6",14,0.0319634703196347,"2001-01-01","2005-01-01",1461,1,"Auckland"
"7",9,0.0205479452054795,"2001-01-01","2005-01-01",1461,1,"Auckland"
"8",9,0.0205479452054795,"2001-01-01","2005-01-01",1461,1,"Auckland"
"9",3,0.00684931506849315,"2001-01-01","2005-01-01",1461,1,"Auckland"
"1",135,0.36096256684492,"2002-01-01","2005-01-01",1096,1,"Auckland"
"2",96,0.25668449197861,"2002-01-01","2005-01-01",1096,1,"Auckland"
"3",62,0.165775401069519,"2002-01-01","2005-01-01",1096,1,"Auckland"
"4",39,0.10427807486631,"2002-01-01","2005-01-01",1096,1,"Auckland"
"5",15,0.0401069518716578,"2002-01-01","2005-01-01",1096,1,"Auckland"
"6",10,0.0267379679144385,"2002-01-01","2005-01-01",1096,1,"Auckland"
"7",8,0.0213903743315508,"2002-01-01","2005-01-01",1096,1,"Auckland"
"8",9,0.0240641711229947,"2002-01-01","2005-01-01",1096,1,"Auckland"
"1",127,0.460144927536232,"2003-01-01","2005-01-01",731,1,"Auckland"
"2",76,0.27536231884058,"2003-01-01","2005-01-01",731,1,"Auckland"
"3",39,0.141304347826087,"2003-01-01","2005-01-01",731,1,"Auckland"
"4",15,0.0543478260869565,"2003-01-01","2005-01-01",731,1,"Auckland"
"5",12,0.0434782608695652,"2003-01-01","2005-01-01",731,1,"Auckland"
"6",7,0.0253623188405797,"2003-01-01","2005-01-01",731,1,"Auckland"
"1",101,0.639240506329114,"2004-01-01","2005-01-01",366,1,"Auckland"
"2",38,0.240506329113924,"2004-01-01","2005-01-01",366,1,"Auckland"
"3",18,0.113924050632911,"2004-01-01","2005-01-01",366,1,"Auckland"
"4",1,0.00632911392405063,"2004-01-01","2005-01-01",366,1,"Auckland"
"1",138,0.297413793103448,"2001-01-01","2006-01-01",1826,1,"Auckland"
"10",7,0.0150862068965517,"2001-01-01","2006-01-01",1826,1,"Auckland"
"11",5,0.0107758620689655,"2001-01-01","2006-01-01",1826,1,"Auckland"
"12",1,0.0021551724137931,"2001-01-01","2006-01-01",1826,1,"Auckland"
"2",114,0.245689655172414,"2001-01-01","2006-01-01",1826,1,"Auckland"
"3",61,0.131465517241379,"2001-01-01","2006-01-01",1826,1,"Auckland"
"4",54,0.116379310344828,"2001-01-01","2006-01-01",1826,1,"Auckland"
"5",36,0.0775862068965517,"2001-01-01","2006-01-01",1826,1,"Auckland"
"6",23,0.0495689655172414,"2001-01-01","2006-01-01",1826,1,"Auckland"
"7",9,0.0193965517241379,"2001-01-01","2006-01-01",1826,1,"Auckland"
"8",11,0.0237068965517241,"2001-01-01","2006-01-01",1826,1,"Auckland"
"9",5,0.0107758620689655,"2001-01-01","2006-01-01",1826,1,"Auckland"
"1",139,0.342364532019704,"2002-01-01","2006-01-01",1461,1,"Auckland"
"10",6,0.0147783251231527,"2002-01-01","2006-01-01",1461,1,"Auckland"
"2",93,0.229064039408867,"2002-01-01","2006-01-01",1461,1,"Auckland"
"3",59,0.145320197044335,"2002-01-01","2006-01-01",1461,1,"Auckland"
"4",47,0.11576354679803,"2002-01-01","2006-01-01",1461,1,"Auckland"
"5",29,0.0714285714285714,"2002-01-01","2006-01-01",1461,1,"Auckland"
"6",12,0.0295566502463054,"2002-01-01","2006-01-01",1461,1,"Auckland"
"7",6,0.0147783251231527,"2002-01-01","2006-01-01",1461,1,"Auckland"
"8",11,0.0270935960591133,"2002-01-01","2006-01-01",1461,1,"Auckland"
"9",4,0.00985221674876847,"2002-01-01","2006-01-01",1461,1,"Auckland"
"1",129,0.408227848101266,"2003-01-01","2006-01-01",1096,1,"Auckland"
"2",73,0.231012658227848,"2003-01-01","2006-01-01",1096,1,"Auckland"
"3",46,0.145569620253165,"2003-01-01","2006-01-01",1096,1,"Auckland"
"4",34,0.107594936708861,"2003-01-01","2006-01-01",1096,1,"Auckland"
"5",14,0.0443037974683544,"2003-01-01","2006-01-01",1096,1,"Auckland"
"6",7,0.0221518987341772,"2003-01-01","2006-01-01",1096,1,"Auckland"
"7",8,0.0253164556962025,"2003-01-01","2006-01-01",1096,1,"Auckland"
"8",3,0.00949367088607595,"2003-01-01","2006-01-01",1096,1,"Auckland"
"9",2,0.00632911392405063,"2003-01-01","2006-01-01",1096,1,"Auckland"
"1",121,0.533039647577093,"2004-01-01","2006-01-01",731,1,"Auckland"
"2",51,0.224669603524229,"2004-01-01","2006-01-01",731,1,"Auckland"
"3",24,0.105726872246696,"2004-01-01","2006-01-01",731,1,"Auckland"
"4",19,0.0837004405286344,"2004-01-01","2006-01-01",731,1,"Auckland"
"5",8,0.0352422907488987,"2004-01-01","2006-01-01",731,1,"Auckland"
"6",3,0.013215859030837,"2004-01-01","2006-01-01",731,1,"Auckland"
"7",1,0.00440528634361234,"2004-01-01","2006-01-01",731,1,"Auckland"
"1",89,0.654411764705882,"2005-01-01","2006-01-01",365,1,"Auckland"
"2",34,0.25,"2005-01-01","2006-01-01",365,1,"Auckland"
"3",8,0.0588235294117647,"2005-01-01","2006-01-01",365,1,"Auckland"
"4",5,0.0367647058823529,"2005-01-01","2006-01-01",365,1,"Auckland"
"1",159,0.307543520309478,"2001-01-01","2007-01-01",2191,1,"Auckland"
"10",8,0.0154738878143133,"2001-01-01","2007-01-01",2191,1,"Auckland"
"11",8,0.0154738878143133,"2001-01-01","2007-01-01",2191,1,"Auckland"
"12",5,0.00967117988394584,"2001-01-01","2007-01-01",2191,1,"Auckland"
"13",2,0.00386847195357834,"2001-01-01","2007-01-01",2191,1,"Auckland"
"14",1,0.00193423597678917,"2001-01-01","2007-01-01",2191,1,"Auckland"
"2",117,0.226305609284333,"2001-01-01","2007-01-01",2191,1,"Auckland"
"3",53,0.102514506769826,"2001-01-01","2007-01-01",2191,1,"Auckland"
"4",68,0.131528046421663,"2001-01-01","2007-01-01",2191,1,"Auckland"
"5",43,0.0831721470019342,"2001-01-01","2007-01-01",2191,1,"Auckland"
"6",22,0.0425531914893617,"2001-01-01","2007-01-01",2191,1,"Auckland"
"7",10,0.0193423597678917,"2001-01-01","2007-01-01",2191,1,"Auckland"
"8",10,0.0193423597678917,"2001-01-01","2007-01-01",2191,1,"Auckland"
"9",11,0.0212765957446809,"2001-01-01","2007-01-01",2191,1,"Auckland"
"1",155,0.33695652173913,"2002-01-01","2007-01-01",1826,1,"Auckland"
"10",3,0.00652173913043478,"2002-01-01","2007-01-01",1826,1,"Auckland"
"11",6,0.0130434782608696,"2002-01-01","2007-01-01",1826,1,"Auckland"
"12",2,0.00434782608695652,"2002-01-01","2007-01-01",1826,1,"Auckland"
"13",1,0.00217391304347826,"2002-01-01","2007-01-01",1826,1,"Auckland"
"2",95,0.206521739130435,"2002-01-01","2007-01-01",1826,1,"Auckland"
"3",62,0.134782608695652,"2002-01-01","2007-01-01",1826,1,"Auckland"
"4",60,0.130434782608696,"2002-01-01","2007-01-01",1826,1,"Auckland"
"5",25,0.0543478260869565,"2002-01-01","2007-01-01",1826,1,"Auckland"
"6",18,0.0391304347826087,"2002-01-01","2007-01-01",1826,1,"Auckland"
"7",8,0.0173913043478261,"2002-01-01","2007-01-01",1826,1,"Auckland"
"8",13,0.0282608695652174,"2002-01-01","2007-01-01",1826,1,"Auckland"
"9",12,0.0260869565217391,"2002-01-01","2007-01-01",1826,1,"Auckland"
"1",136,0.365591397849462,"2003-01-01","2007-01-01",1461,1,"Auckland"
"10",4,0.010752688172043,"2003-01-01","2007-01-01",1461,1,"Auckland"
"12",1,0.00268817204301075,"2003-01-01","2007-01-01",1461,1,"Auckland"
"2",80,0.21505376344086,"2003-01-01","2007-01-01",1461,1,"Auckland"
"3",52,0.139784946236559,"2003-01-01","2007-01-01",1461,1,"Auckland"
"4",44,0.118279569892473,"2003-01-01","2007-01-01",1461,1,"Auckland"
"5",19,0.0510752688172043,"2003-01-01","2007-01-01",1461,1,"Auckland"
"6",8,0.021505376344086,"2003-01-01","2007-01-01",1461,1,"Auckland"
