"Ave_obs_q","Median_obs_q","win_start","win_end","win_days"
1.57073760580411,1,"2001-01-01","2002-01-01",365
2.60222110045432,2,"2001-01-01","2003-01-01",730
1.97227036395147,2,"2002-01-01","2003-01-01",365
3.37121212121212,3,"2001-01-01","2004-01-01",1095
2.81222917669716,3,"2002-01-01","2004-01-01",730
1.83640303358613,2,"2003-01-01","2004-01-01",365
4.15187165775401,4,"2001-01-01","2005-01-01",1461
3.65430827325781,3,"2002-01-01","2005-01-01",1096
2.77373507674815,2,"2003-01-01","2005-01-01",731
1.79425837320574,2,"2004-01-01","2005-01-01",366
4.98713112935434,5,"2001-01-01","2006-01-01",1826
4.56521739130435,4,"2002-01-01","2006-01-01",1461
3.76167854315123,3,"2003-01-01","2006-01-01",1096
2.94260761072988,3,"2004-01-01","2006-01-01",731
2.08474576271186,2,"2005-01-01","2006-01-01",365
5.58805970149254,5,"2001-01-01","2007-01-01",2191
5.19854401058901,5,"2002-01-01","2007-01-01",1826
4.4181710565256,4,"2003-01-01","2007-01-01",1461
3.6685667752443,3,"2004-01-01","2007-01-01",1096
2.83456790123457,3,"2005-01-01","2007-01-01",730
1.76905041031653,2,"2006-01-01","2007-01-01",365
5.97869124981109,5,"2001-01-01","2008-01-01",2556
5.61381692573402,5,"2002-01-01","2008-01-01",2191
4.89991371872304,4,"2003-01-01","2008-01-01",1826
4.20064637759224,4,"2004-01-01","2008-01-01",1461
3.44490789016336,3,"2005-01-01","2008-01-01",1095
2.51469194312796,2,"2006-01-01","2008-01-01",730
1.74144789180589,2,"2007-01-01","2008-01-01",365
6.34762896703835,5,"2001-01-01","2009-01-01",2922
6.01745295882193,5,"2002-01-01","2009-01-01",2557
5.36504854368932,4,"2003-01-01","2009-01-01",2192
4.73825375689557,4,"2004-01-01","2009-01-01",1827
4.0798461886451,3,"2005-01-01","2009-01-01",1461
3.24685276409414,3,"2006-01-01","2009-01-01",1096
2.59371652981078,2,"2007-01-01","2009-01-01",731
1.72279792746114,2,"2008-01-01","2009-01-01",366
