"servper","ntype","rtype","n"
"2000Q2","achieved","dwellings",1688
"2000Q3","achieved","dwellings",1635
"2000Q4","achieved","dwellings",1623
"2001Q1","achieved","dwellings",1579
"2001Q3","achieved","dwellings",1561
"2001Q4","achieved","dwellings",1572
"2002Q1","achieved","dwellings",1547
"2002Q2","achieved","dwellings",1487
"2002Q3","achieved","dwellings",1443
"2002Q4","achieved","dwellings",1344
"2003Q1","achieved","dwellings",1292
"2003Q2","achieved","dwellings",1277
"2003Q3","achieved","dwellings",1168
"2003Q4","achieved","dwellings",1129
"2004Q1","achieved","dwellings",1096
"2004Q2","achieved","dwellings",1041
"2004Q3","achieved","dwellings",1001
"2004Q4","achieved","dwellings",971
"2005Q1","achieved","dwellings",959
"2005Q2","achieved","dwellings",924
"2005Q3","achieved","dwellings",884
"2005Q4","achieved","dwellings",868
"2006Q1","achieved","dwellings",864
"2006Q2","achieved","dwellings",1363
"2006Q3","achieved","dwellings",1442
"2006Q4","achieved","dwellings",1525
"2007Q1","achieved","dwellings",1598
"2007Q2","achieved","dwellings",1686
"2007Q3","achieved","dwellings",1740
"2007Q4","achieved","dwellings",1861
"2008Q1","achieved","dwellings",1950
"2008Q2","achieved","dwellings",1958
"2008Q3","achieved","dwellings",1997
"2008Q4","achieved","dwellings",2081
"2009Q1","achieved","dwellings",2074
"2009Q2","achieved","dwellings",2130
"2009Q3","achieved","dwellings",2134
"2009Q4","achieved","dwellings",2214
"2010Q1","achieved","dwellings",2250
"2010Q2","achieved","dwellings",2306
"2010Q3","achieved","dwellings",2312
"2010Q4","achieved","dwellings",2344
"2011Q1","achieved","dwellings",2343
"2011Q2","achieved","dwellings",2419
"2011Q3","achieved","dwellings",2404
"2011Q4","achieved","dwellings",2399
"2012Q1","achieved","dwellings",2429
"2012Q3","achieved","dwellings",2397
"2012Q4","achieved","dwellings",2480
"2013Q1","achieved","dwellings",2407
"2013Q2","achieved","dwellings",2471
"2013Q3","achieved","dwellings",2512
"2013Q4","achieved","dwellings",2426
"2014Q1","achieved","dwellings",2433
"2014Q2","achieved","dwellings",2448
"2014Q3","achieved","dwellings",2429
"2014Q4","achieved","dwellings",2413
"2015Q1","achieved","dwellings",2469
"2015Q2","achieved","dwellings",2492
"2015Q3","achieved","dwellings",2464
"2015Q4","achieved","dwellings",2406
"2016Q1","achieved","dwellings",2468
"2016Q2","achieved","dwellings",2582
"2016Q3","achieved","dwellings",2473
"2016Q4","achieved","dwellings",2386
"2017Q1","achieved","dwellings",2414
"2017Q2","achieved","dwellings",2433
"2017Q3","achieved","dwellings",2445
"2017Q4","achieved","dwellings",2429
"2000Q2","achieved","landlords",1095
